Timestamp,CPU Usage (%),Memory Usage (MB)
17:30:21,0.0,506.421875
17:30:23,37.5,539.4609375
17:30:25,17.2,542.33984375
17:30:27,18.8,542.4140625
17:30:29,14.1,507.20703125
17:30:31,25.0,507.20703125
17:30:33,12.5,507.2109375
17:30:35,12.3,507.21484375
17:30:37,9.4,514.4140625
17:30:39,15.6,514.41796875
17:30:41,1.6,507.2265625
